Hour of Day,Litres/Hour
0,0.25
5,0.225
10,0.19
15,0.2
20,0.205
25,0.15
30,0.15
35,0.175
40,0.15
45,0.1
50,0.1
55,0.1
60,0.09
65,0.09
70,0.1
75,0.075
80,0.085
85,0.08
90,0.075
95,0.075
100,0.05
105,0.04
110,0.04
115,0.05
120,0.05
125,0.04
130,0.03
135,0.025
140,0.025
145,0.025
150,0.02
155,0.02
160,0.02
165,0.02
170,0.025
175,0.03
180,0.025
185,0.02
190,0.018
195,0.015
200,0.01
205,0.01
210,0.01
215,0.005
220,0.005
225,0.005
230,0.005
235,0
240,0
245,0
250,0.01
255,0.02
260,0.02
265,0.02
270,0.0215
275,0.0215
280,0.025
285,0.025
290,0.025
295,0.025
300,0.025
305,0.025
310,0.03
315,0.04
320,0.04
325,0.05
330,0.075
335,0.085
340,0.1
345,0.18
350,0.25
355,0.3
360,0.36
365,0.45
370,0.5
375,0.7
380,0.78
385,0.7
390,0.75
395,0.82
400,0.95
405,1.4
410,1.75
415,1.65
420,1.4
425,1.3
430,1.34
435,1.45
440,1.63
445,1.68
450,1.55
455,1.4
460,1.25
465,1.2
470,1.18
475,0.98
480,0.97
485,0.95
490,0.95
495,0.935
500,0.925
505,0.7
510,0.675
515,0.7
520,0.625
525,0.6
530,0.625
535,0.725
540,0.75
545,0.75
550,0.735
555,0.65
560,0.75
565,0.75
570,0.775
575,0.8
580,0.825
585,0.8
590,0.925
595,1
600,0.925
605,0.84
610,0.85
615,0.85
620,0.84
625,0.86
630,0.89
635,0.83
640,0.85
645,0.86
650,0.84
655,0.8
660,0.825
665,0.815
670,0.82
675,0.875
680,0.9
685,0.9
690,0.9
695,0.81
700,0.9
705,0.95
710,0.98
715,1.05
720,1.07
725,0.98
730,0.91
735,0.85
740,0.82
745,0.87
750,0.9
755,0.81
760,0.78
765,0.78
770,0.8
775,0.85
780,0.9
785,0.925
790,0.95
795,0.9
800,0.8
805,0.81
810,0.75
815,0.75
820,0.745
825,0.732
830,0.66
835,0.675
840,0.65
845,0.625
850,0.62
855,0.59
860,0.61
865,0.65
870,0.62
875,0.59
880,0.5
885,0.54
890,0.58
895,0.62
900,0.61
905,0.59
910,0.63
915,0.65
920,0.6
925,0.63
930,0.6
935,0.585
940,0.6
945,0.6
950,0.59
955,0.6
960,0.61
965,0.585
970,0.62
975,0.64
980,0.64
985,0.75
990,0.9
995,0.8
1000,0.7
1005,0.8
1010,0.85
1015,0.9
1020,0.88
1025,0.85
1030,0.8
1035,0.78
1040,0.92
1045,0.98
1050,0.94
1055,0.9
1060,0.91
1065,0.94
1070,0.95
1075,0.9
1080,0.88
1085,0.91
1090,0.98
1095,1
1100,1.1
1105,1.3
1110,1.2
1115,1.3
1120,1.2
1125,1.31
1130,1.2
1135,1.5
1140,1.5
1145,1.45
1150,1.48
1155,1.4
1160,1.38
1165,1.3
1170,1.28
1175,1.3
1180,1.2
1185,1.15
1190,1.1
1195,1.125
1200,1
1205,1.15
1210,1.05
1215,1
1220,0.98
1225,1.15
1230,1
1235,0.98
1240,0.9
1245,0.85
1250,0.82
1255,0.95
1260,1
1265,1.1
1270,1.08
1275,1
1280,0.99
1285,0.96
1290,0.92
1295,0.84
1300,0.88
1305,0.82
1310,0.81
1315,0.8
1320,0.94
1325,0.9
1330,0.85
1335,0.8
1340,0.72
1345,0.6
1350,0.59
1355,0.61
1360,0.59
1365,0.55
1370,0.52
1375,0.5
1380,0.5
1385,0.48
1390,0.43
1395,0.4
1400,0.38
1405,0.375
1410,0.375
1415,0.35
1420,0.28
1425,0.275
1430,0.26
1435,0.25
